No.	User	DL	UD	RD	PT	UP	PM	BL	UB	BM	UR	RM	IM	Total
1976	Thryduulf	1531	72	4	91	44	5	76	20	1	0	0	0	1844
1898	Swatjester	1055	30	7	217	17	36	413	51	9	0	6	0	1841
1247	Mattgirling	1568	8	6	67	7	6	156	2	12	0	0	0	1832
1271	Melchoir	1610	28	4	65	3	3	110	2	1	0	0	0	1826
1820	Skomorokh	1565	112	0	128	3	7	0	0	0	0	6	0	1821
1730	SarahStierch	1567	57	8	90	2	4	88	0	3	0	1	0	1820
863	Ice Cold Beer	1457	11	0	10	3	2	319	11	6	0	0	0	1819
1795	Shimeru	1752	15	4	27	0	0	18	1	0	0	0	0	1817
1907	Ta bu shi da yu	1396	57	0	88	47	0	171	56	0	0	0	0	1815
613	Euryalus	1294	11	2	63	3	11	398	8	15	0	3	0	1808
1117	Lankiveil	1497	50	6	28	0	6	193	6	15	0	3	0	1804
860	IanManka	1219	236	0	74	11	9	225	26	2	0	0	0	1802
1620	Resolute	1403	65	26	73	12	5	199	3	6	0	0	0	1792
1112	LFaraone	1538	42	23	48	10	10	79	2	9	0	4	0	1765
402	Cool Hand Luke	959	590	1	65	12	21	96	18	0	0	0	0	1762
2017	Toon05	1387	110	1	59	12	5	159	7	16	0	6	0	1762
864	IceKarma	1745	8	0	2	2	0	0	1	0	0	0	0	1758
1141	Lightdarkness	1529	18	0	5	3	0	183	19	0	0	0	0	1757
6	2over0	1144	55	30	190	11	48	242	19	5	0	8	0	1752
2183	Zanimum	1465	69	0	60	21	1	124	12	0	0	0	0	1752
1380	Newyorkbrad	865	15	6	91	6	4	717	33	4	0	1	0	1742
486	Deathphoenix	1168	49	0	17	5	0	420	80	0	0	0	0	1739
1421	Ocatecir	1340	11	0	106	18	1	250	9	0	0	0	0	1735
488	Deckiller	1244	35	0	82	14	3	301	46	0	0	0	0	1725
1865	Staecker	1698	21	0	1	1	0	3	0	0	0	0	0	1724
1864	Ssd	1699	2	0	7	1	0	14	0	0	0	0	0	1723
1021	Jusjih	1601	91	0	10	1	1	5	0	0	0	0	0	1709
260	BrokenSegue	1374	11	0	63	67	0	152	40	0	0	0	0	1707
99	Andrew c	1449	65	4	39	3	2	125	8	2	0	3	0	1700
1705	SWAdair	1599	7	0	49	1	0	38	1	0	0	0	0	1695
820	Heimstern	488	19	1	104	9	8	1007	38	17	0	0	0	1691
1476	Pats1	829	89	0	224	11	20	494	9	9	0	0	0	1685
1357	NCurse	1635	11	0	1	1	0	34	0	0	0	0	0	1682
1962	TheDJ	1574	62	2	22	5	6	5	0	1	0	0	3	1680
1640	Rjanag	1192	48	22	116	10	16	225	23	21	0	1	0	1674
602	ErikHaugen	1439	202	4	6	0	0	14	1	0	0	1	0	1667
2132	Wimt	611	30	0	59	8	2	924	21	0	0	12	0	1667
1177	MCB	1166	17	0	33	5	3	422	17	1	0	0	0	1664
931	Jaxl	1604	10	0	3	1	0	36	0	0	0	0	0	1654
