No.	User	DL	UD	RD	PT	UP	PM	BL	UB	BM	UR	RM	IM	Total
830	Hermione1980	501	4	0	4	3	1	11	2	0	0	0	0	526
959	Jiang	391	19	0	17	5	0	91	3	0	0	0	0	526
1022	Justinc	520	2	0	0	0	0	0	0	0	0	1	0	523
1622	RetiredUser2	376	88	0	25	15	0	12	6	0	0	0	0	522
2041	Tznkai	222	4	4	83	9	17	154	21	6	0	2	0	522
1119	Larry V	466	13	0	11	2	1	23	2	2	0	0	0	520
1464	Pakaran	189	14	0	23	38	12	59	6	1	136	39	0	517
244	BozMo	298	6	2	21	4	3	164	18	0	0	0	0	516
1896	Sverdrup	502	4	0	1	2	0	2	2	0	0	0	0	513
605	Espresso Addict	477	11	0	5	1	0	2	0	0	0	15	0	511
2112	Where	415	4	0	0	0	0	80	11	0	0	0	0	510
1892	Sue Anne	499	9	0	0	0	0	1	0	0	0	0	0	509
2023	Trebor	300	3	0	79	27	2	89	7	2	0	0	0	509
476	Davidgothberg	115	66	0	220	11	51	28	7	2	0	3	0	503
388	CloudNine	424	15	0	24	1	2	32	2	0	0	0	0	500
533	Dpmuk	323	6	115	9	0	2	39	2	0	0	4	0	500
130	Arcadian	348	33	0	33	1	0	79	5	0	0	0	0	499
2032	Tristessa de St Ange	263	15	10	20	10	3	148	24	5	0	1	0	499
582	Elf-friend	465	1	0	17	0	0	15	0	0	0	0	0	498
1933	Texture	450	10	0	1	1	0	34	1	0	0	0	0	497
411	Crazytales	270	23	5	20	3	2	124	30	5	0	1	0	483
785	Guettarda	216	83	1	50	31	8	73	19	0	0	1	0	482
314	Carabinieri	454	7	0	9	3	0	3	2	0	0	0	0	478
315	Carbonite	188	3	0	28	10	0	225	22	0	0	0	0	476
1185	MPF	441	9	0	7	0	0	17	0	0	0	0	0	474
1818	Sjorford	428	34	0	4	5	0	3	0	0	0	0	0	474
2042	Tóraí	431	4	8	4	1	0	22	3	1	0	0	0	474
170	Balloonman	370	16	0	14	2	2	53	9	4	0	2	0	472
902	JGHowes	313	19	1	34	0	5	94	1	5	0	0	0	472
2167	Yandman	304	3	2	16	1	2	135	8	0	0	0	0	471
503	Deryck Chan	207	16	3	181	9	22	23	1	3	0	4	0	469
1418	Oberiko	294	3	0	8	2	0	162	0	0	0	0	0	469
1948	The Placebo Effect	366	12	0	41	8	7	26	4	0	0	2	0	466
229	Bmicomp	404	2	0	6	4	0	38	11	0	0	0	0	465
340	Ceranthor	309	2	0	0	0	0	152	0	2	0	0	0	465
2128	William Pietri	450	4	0	1	0	0	10	0	0	0	0	0	465
544	DropDeadGorgias	340	3	0	24	1	0	90	5	0	0	0	0	463
127	Aqwis	254	30	0	77	6	29	55	2	0	0	8	0	461
433	DO11.10	418	28	2	2	0	0	6	1	0	0	2	0	459
177	BaronLarf	211	26	0	26	1	1	190	1	2	0	0	0	458
822	Hemanshu	447	5	0	0	0	0	5	0	0	0	0	0	457
1437	Omegatron	308	90	0	27	13	0	16	0	0	0	0	0	454
1581	Ragesoss	373	47	1	11	1	4	7	0	2	0	7	0	453
725	Gator1	172	15	0	54	3	0	182	26	0	0	0	0	452
1609	Redrose64	307	7	22	54	1	12	43	2	1	0	1	0	450
1012	Jrdioko	429	0	0	0	0	0	18	0	0	0	0	0	447
1452	Owen	257	24	0	15	33	0	95	23	0	0	0	0	447
727	Gdr	337	10	0	47	45	0	5	0	0	0	0	0	444
1406	Nohat	267	38	0	39	33	0	62	5	0	0	0	0	444
2059	VampWillow	388	1	0	30	8	0	12	3	0	0	0	0	442
1131	Lenticel	430	9	0	1	0	0	0	0	0	0	0	0	440
755	GoneAwayNowAndRetired	149	4	0	135	4	41	89	3	12	0	2	0	439
1426	Okiefromokla	195	2	0	21	3	3	208	7	0	0	0	0	439
2178	Yonatan	262	54	0	10	9	8	85	9	0	0	2	0	439
296	Cailil	204	4	14	36	0	2	139	15	23	0	0	0	437
679	Formeruser-82	198	24	0	45	24	0	121	25	0	0	0	0	437
1120	Laser brain	337	8	3	15	1	2	62	2	5	0	1	0	436
921	JamesTeterenko	222	2	0	27	18	0	160	4	0	0	0	0	433
2051	Urhixidur	401	21	0	2	0	0	9	0	0	0	0	0	433
606	Esprit15d	410	9	0	9	2	0	1	0	0	0	0	0	431
770	GregAsche	239	1	0	13	17	0	152	9	0	0	0	0	431
1815	Sj	158	180	0	13	11	2	57	8	1	0	0	0	430
983	Johan Elisson	352	14	0	11	4	0	42	5	0	0	0	0	428
1912	Tango	341	2	0	4	2	0	75	4	0	0	0	0	428
1343	MrDarcy	223	5	0	36	7	0	143	12	0	0	0	0	426
475	Davidcannon	155	69	0	32	4	0	137	26	1	0	0	0	424
1494	Penwhale	171	11	4	93	10	44	69	14	6	0	2	0	424
245	BradBeattie	294	0	0	6	0	0	118	3	0	0	0	0	421
1869	Staxringold	350	11	1	11	0	0	48	0	0	0	0	0	421
1895	Superm401	265	26	0	23	22	24	48	12	0	0	1	0	421
782	Gtrmp	403	12	0	3	0	0	1	0	0	0	0	0	419
1158	Loren36	76	1	0	12	4	1	302	20	0	0	0	0	416
726	Gazimoff	327	3	0	5	2	1	72	2	1	0	2	0	415
1627	Rfl	371	39	0	1	0	0	2	0	1	0	0	0	414
2182	Zagalejo	30	8	17	258	38	5	53	0	5	0	0	0	414
1305	MikeLynch	84	2	12	76	0	20	212	2	5	0	0	0	413
1028	K1Bond007	354	8	1	3	3	0	37	4	0	0	0	0	410
1589	Rambo's Revenge	329	26	4	13	0	4	31	0	1	0	1	0	409
451	DanielCD	342	1	0	15	11	0	37	2	0	0	0	0	408
1245	Matt Crypto	132	23	0	38	22	0	173	18	0	0	0	0	406
571	Edward	375	1	0	2	1	0	22	3	0	0	0	0	404
242	Borisblue	248	1	0	14	39	0	92	8	0	0	0	0	402
644	Fastfission	194	11	0	9	6	2	160	20	0	0	0	0	402
1853	Spangineer	262	10	0	16	11	0	94	8	0	0	0	0	401
38	Admiral Norton	380	6	0	6	0	0	6	0	0	0	2	0	400
223	Blankfaze	386	1	0	3	2	0	7	1	0	0	0	0	400
1162	Lradrama	181	2	0	0	0	0	201	15	0	0	1	0	400
1911	Talrias	255	8	0	23	14	0	82	17	0	0	0	0	399
1550	ProhibitOnions	335	11	0	0	1	0	50	0	0	0	0	0	397
1526	PinchasC	119	18	0	48	14	1	188	6	0	0	0	0	394
1756	ScottDavis	302	36	0	9	5	0	37	4	0	0	0	0	393
1043	Karmafist	165	35	0	15	5	0	151	21	0	0	0	0	392
346	Chamal N	157	4	0	86	5	24	105	2	2	0	5	0	390
373	Chunky Rice	347	1	0	5	3	0	31	2	0	0	0	0	389
1223	Mark83	371	10	0	1	2	0	3	0	0	0	0	0	387
970	Jmabel	194	38	0	8	7	0	133	5	0	0	0	0	385
998	Jondel	248	1	0	34	8	5	87	1	0	0	0	0	384
1845	Solipsist	78	1	0	136	49	0	108	12	0	0	0	0	384
993	Johntex	131	28	0	27	4	1	180	11	0	0	0	0	382
1428	Olaf Davis	354	7	1	4	0	0	13	1	0	0	1	0	381
825	Henry Flower	126	4	0	18	10	0	214	8	0	0	0	0	380
1994	Timwi	347	23	0	4	6	0	0	0	0	0	0	0	380
2170	Yannismarou	298	2	0	20	7	2	48	1	0	0	1	0	379
374	Chuq	229	21	4	14	2	1	95	10	0	0	0	0	376
460	Darthgriz98	250	4	0	5	0	0	115	2	0	0	0	0	376
2088	WAvegetarian	270	20	0	8	3	0	69	6	0	0	0	0	376
69	AlistairMcMillan	264	22	0	18	1	1	65	4	0	0	0	0	375
100	Andrewa	348	19	0	1	0	0	7	0	0	0	0	0	375
775	Grondemar	348	9	8	1	0	0	4	1	3	0	0	0	374
1081	Kizor	66	260	0	9	8	2	26	3	0	0	0	0	374
1153	Looie496	12	0	3	95	3	21	219	11	6	0	3	0	373
1804	Shyamal	241	36	0	26	3	5	49	2	3	0	8	0	373
778	Grue	206	103	0	10	18	0	25	8	0	0	0	0	370
1085	Knowledge Seeker	115	32	0	19	19	0	110	75	0	0	0	0	370
769	Greeves	323	5	0	6	2	0	26	0	0	0	7	0	369
923	Jamesofur	127	23	40	22	6	14	98	12	11	0	16	0	369
186	Bduke	269	19	0	32	9	3	34	0	0	0	0	0	366
1780	Seth Ilys	343	2	0	7	2	0	5	3	0	0	0	0	362
1975	Thorpe	319	4	0	10	2	1	22	4	0	0	0	0	362
2164	Y0u	345	0	0	0	0	0	13	2	0	0	0	0	360
1429	OldakQuill	326	22	0	6	2	0	2	1	0	0	0	0	359
3	17Drew	317	1	0	2	0	0	37	1	0	0	0	0	358
1762	Seattle Skier	296	10	2	12	0	2	34	1	1	0	0	0	358
1529	Pjacobi	230	6	0	16	3	0	100	2	0	0	0	0	357
735	Geometry guy	275	37	0	2	1	3	4	1	2	0	24	0	349
1601	Rbrwr	346	2	0	0	0	0	1	0	0	0	0	0	349
46	Ais523	299	16	0	16	3	0	8	6	0	0	0	0	348
1809	Singularity42	170	8	3	4	0	0	135	13	12	0	3	0	348
867	Ike9898	304	3	0	5	1	1	30	3	0	0	0	0	347
1050	Kbthompson	151	26	0	25	1	1	136	2	0	0	4	0	346
1088	Kosebamse	335	0	0	1	0	0	10	0	0	0	0	0	346
1221	Mark Dingemanse	293	0	0	1	3	0	45	3	0	0	0	0	345
1978	Thumperward	253	15	3	13	16	5	31	4	2	0	2	0	344
1315	Mitchazenia	261	13	0	6	2	5	53	3	0	0	0	0	343
2061	Vanished user	166	16	0	29	8	2	105	14	0	0	0	0	340
2189	Zocky	264	18	0	21	8	0	21	8	0	0	0	0	340
116	AnonEMouse	146	26	0	30	4	2	122	9	0	0	0	0	339
2103	Water Bottle	282	22	0	2	0	0	30	3	0	0	0	0	339
2035	Trödel	215	34	0	7	2	0	63	14	1	0	0	0	336
126	Appraiser	323	6	0	5	0	0	1	0	0	0	0	0	335
1111	LAX	221	3	0	3	4	1	95	1	0	0	4	0	332
1475	Patrick	204	112	0	9	1	1	3	1	0	0	1	0	332
144	Asterion	98	7	0	72	8	3	126	15	0	0	1	0	330
164	Babajobu	298	3	0	1	1	0	21	3	2	0	0	0	329
596	EncycloPetey	153	24	1	90	0	12	46	2	0	0	0	0	328
1558	Psy guy	110	0	0	10	9	0	181	17	0	0	0	0	327
838	Hit bull, win steak	278	10	0	2	0	0	34	0	1	0	0	0	325
1326	Moink	304	3	0	2	0	0	7	7	0	0	0	0	323
1590	Rami R	7	0	4	200	2	25	84	0	0	0	0	0	322
13	A Train	237	6	0	19	4	0	51	2	2	0	0	0	321
1739	Saxifrage	292	2	0	10	4	0	13	0	0	0	0	0	321
1888	StuffOfInterest	173	5	0	29	2	0	106	2	0	0	0	0	317
136	ArnoldReinhold	290	3	0	8	2	2	8	2	1	0	0	0	316
1053	Keenan Pepper	300	1	0	3	0	0	11	0	0	0	0	0	315
1725	Sanchom	241	3	0	4	1	0	58	8	0	0	0	0	315
1629	Rholton	277	3	0	8	1	0	22	3	0	0	0	0	314
443	Danaman5	293	4	0	6	0	0	4	4	0	0	2	0	313
1402	Nmajdan	220	5	0	9	8	4	65	2	0	0	0	0	313
1422	Ocee	195	2	0	3	3	10	95	5	0	0	0	0	313
1123	Lazulilasher	212	10	0	16	4	5	60	1	2	0	2	0	312
562	Earl Andrew	127	36	2	32	9	0	89	15	0	0	0	0	310
2089	WGFinley	163	5	3	31	3	5	51	30	18	0	1	0	310
1171	Lyrl	302	1	0	0	1	0	5	0	0	0	0	0	309
259	Brockert	190	51	0	3	3	0	31	30	0	0	0	0	308
1747	Scimitar	192	3	0	9	3	0	97	4	0	0	0	0	308
1607	RedWordSmith	241	11	0	13	20	0	20	1	0	0	0	0	306
1969	TheoClarke	269	17	0	0	1	0	17	2	0	0	0	0	306
861	Ianblair23	208	93	0	1	3	0	0	0	0	0	0	0	305
895	J-stan	178	7	0	7	3	4	76	6	0	0	24	0	305
1685	Runcorn	72	4	0	5	2	0	143	79	0	0	0	0	305
2186	Zero0000	127	5	38	24	6	3	96	3	3	0	0	0	305
482	Ddstretch	13	0	0	29	6	6	222	20	8	0	0	0	304
1436	Olivier	219	16	0	8	2	0	56	0	3	0	0	0	304
1330	Moni3	99	7	3	111	1	35	32	2	2	0	10	0	302
1444	Oren0	189	7	0	27	7	7	49	8	3	0	4	0	301
2159	Xiner	210	4	0	10	1	0	72	4	0	0	0	0	301
891	Izehar	148	3	0	18	21	0	89	20	0	0	0	0	299
1083	Kmccoy	201	5	0	23	3	4	45	9	5	0	4	0	299
1273	Menchi	294	3	0	0	0	0	2	0	0	0	0	0	299
1764	SebastianHelm	235	28	6	10	2	2	10	6	0	0	0	0	299
1592	Ran	194	3	0	7	0	2	87	2	0	0	0	0	295
1115	Lacrimosus	225	3	0	18	1	0	45	1	0	0	0	0	293
1722	Samsara	40	24	0	112	4	12	67	34	0	0	0	0	293
1149	Llywrch	188	27	2	24	7	1	32	8	1	0	2	0	292
1270	Melburnian	172	6	0	24	3	3	83	0	1	0	0	0	292
2053	User2004	117	2	0	16	6	0	124	27	0	0	0	0	292
412	Cremepuff222	176	6	0	3	2	1	98	5	0	0	0	0	291
352	Ched	188	14	9	10	2	2	37	11	6	0	8	0	287
1217	Marianocecowski	244	8	0	0	3	0	32	0	0	0	0	0	287
684	FrancisTyers	172	5	0	20	7	0	67	15	0	0	0	0	286
997	Jonathunder	176	14	0	13	1	1	75	4	0	0	1	0	285
553	Dustimagic	216	2	0	4	2	0	50	8	1	0	0	0	283
2102	Wassupwestcoast	224	22	0	14	5	2	14	2	0	0	0	0	283
575	Egil	62	0	0	1	0	0	214	3	0	0	0	0	280
1750	Scm83x	229	5	0	6	1	0	37	2	0	0	0	0	280
848	Humus sapiens	73	2	0	64	4	0	124	12	0	0	0	0	279
1683	Rspeer	119	5	0	15	1	0	114	24	1	0	0	0	279
564	Ed Poor	73	13	0	35	32	0	71	28	0	10	16	0	278
2138	Woggly	167	7	0	12	0	0	75	14	0	0	0	0	275
829	HereToHelp	162	5	0	62	17	8	17	3	0	0	0	0	274
987	John K	218	36	0	4	3	0	8	4	0	0	0	0	273
376	Cimon Avaro	239	10	0	2	5	1	4	0	0	6	5	0	272
556	Dysprosia	154	6	0	3	1	0	97	11	0	0	0	0	272
1136	Lexicon	173	23	0	10	3	1	57	5	0	0	0	0	272
2176	Ynhockey	230	6	1	15	1	1	12	2	2	0	0	0	270
724	Gatoclass	150	2	0	81	29	1	1	0	0	0	0	0	264
1834	Smith03	167	4	0	9	0	2	12	69	1	0	0	0	264
478	Davodd	193	32	1	3	3	1	26	1	1	0	0	0	261
1789	SheffieldSteel	50	5	5	28	2	10	125	17	19	0	0	0	261
258	Brion VIBBER	194	9	0	12	0	1	27	11	0	0	4	0	258
719	Galwhaa	235	6	0	2	0	0	11	3	0	0	0	0	257
167	Bagumba	22	2	14	102	7	23	74	6	6	0	0	0	256
1299	Mike Halterman	150	9	0	13	9	1	64	10	0	0	0	0	256
497	Demi	151	32	0	2	1	0	51	17	0	0	0	0	254
692	Fredrik	209	3	0	1	0	0	40	1	0	0	0	0	254
781	Gryffindor	227	20	0	5	0	0	1	1	0	0	0	0	254
908	JRM	174	9	0	11	17	0	15	28	0	0	0	0	254
1796	Shirahadasha	171	2	0	10	4	3	55	8	0	0	0	0	253
1114	Lachatdelarue	237	7	0	0	1	0	6	1	0	0	0	0	252
2143	Worm That Turned	110	12	24	22	4	6	50	11	8	0	4	0	251
1000	Joolz	244	3	0	0	1	0	0	1	0	0	0	0	249
1038	Kane5187	241	6	0	1	0	0	1	0	0	0	0	0	249
1769	Seddon	107	6	3	27	1	3	80	3	11	0	7	0	248
1254	Maury Markowitz	165	29	0	0	0	1	47	5	0	0	0	0	247
404	Coralmizu	168	2	0	23	1	2	47	2	1	0	0	0	246
1211	Mandsford	227	10	0	3	1	0	2	1	2	0	0	0	246
1236	Masem	152	30	4	20	1	4	35	0	0	0	0	0	246
1884	Stevertigo	136	16	0	46	11	0	22	14	0	0	0	0	245
295	Cacycle	189	11	0	26	2	1	13	1	0	0	1	0	244
2142	Worldtraveller	215	0	0	4	4	0	19	2	0	0	0	0	244
193	Beland	201	1	0	14	12	1	14	0	0	0	0	0	243
766	GrahamColm	137	2	21	19	4	4	49	4	2	0	1	0	243
1638	Rigadoun	226	10	0	2	1	0	2	1	0	0	0	0	242
184	Bcorr	132	9	0	13	1	0	73	10	0	2	1	0	241
870	Ilyanep	155	2	1	6	2	0	32	7	0	16	18	0	239
899	JCarriker	122	29	0	9	4	0	61	13	0	0	0	0	238
850	Huon	164	17	2	3	1	0	40	2	3	0	4	0	236
1547	PrimeHunter	198	13	7	5	2	0	3	0	0	0	8	0	236
2043	UberScienceNerd	165	2	0	0	0	0	68	0	0	0	0	0	235
1877	Steve	217	5	0	6	2	0	2	2	0	0	0	0	234
1057	Kelapstick	160	7	11	14	3	4	24	5	5	0	0	0	233
70	AliveFreeHappy	222	1	0	3	0	0	6	0	0	0	0	0	232
1758	Seabhcan	193	3	0	5	2	0	27	2	0	0	0	0	232
1707	Sadads	183	7	3	4	1	1	6	0	0	0	26	0	231
1952	The Tom	161	12	0	42	12	0	4	0	0	0	0	0	231
886	Isomorphic	213	0	0	1	0	0	14	1	0	0	0	0	229
27	Acdixon	194	0	17	13	0	1	3	0	0	0	0	0	228
171	Banes	62	7	0	2	0	0	155	2	0	0	0	0	228
331	Cbl62	214	5	0	9	0	0	0	0	0	0	0	0	228
427	D. Recorder	172	18	0	2	0	0	34	2	0	0	0	0	228
527	DoomsDay349	222	4	0	2	0	0	0	0	0	0	0	0	228
653	FeloniousMonk	17	13	0	29	4	0	143	20	0	0	0	0	226
1156	Lord Voldemort	182	1	0	9	26	0	4	4	0	0	0	0	226
2198	Ævar Arnfjörð Bjarmason	213	3	0	1	0	0	7	2	0	0	0	0	226
1253	Maunus	48	2	0	45	10	13	84	10	12	0	0	0	224
1712	SalopianJames	203	11	0	2	2	0	3	1	0	0	2	0	224
2010	TomTheHand	97	54	0	0	2	0	61	8	0	0	0	0	222
1409	Nousernamesleft	198	7	0	5	2	3	2	1	0	0	3	0	221
1673	Ronnotel	25	2	2	48	12	8	96	25	2	0	1	0	221
808	Harrias	195	8	1	3	0	0	13	0	0	0	0	0	220
753	GoldRingChip	122	10	1	60	8	17	1	0	0	0	0	0	219
523	Doczilla	76	5	0	19	6	2	101	8	1	0	0	0	218
865	Idont Havaname	159	5	0	3	2	0	48	0	0	0	0	0	217
1356	Mzajac	151	4	0	8	2	1	47	4	0	0	0	0	217
257	Brighterorange	181	12	0	1	0	0	21	1	0	0	0	0	216
2057	Valfontis	141	12	3	2	1	0	53	1	2	0	1	0	216
20	Aarktica	207	2	0	1	0	0	2	1	0	0	0	0	213
1252	Mattythewhite	13	45	0	72	0	2	79	0	2	0	0	0	213
798	Hajor	163	7	0	13	12	0	16	1	0	0	0	0	212
594	Encephalon	92	22	0	27	6	0	28	36	0	0	0	0	211
777	Ground Zero	79	0	0	41	6	5	70	1	9	0	0	0	211
202	Bgwhite	167	3	1	11	1	1	22	0	0	0	0	0	206
2095	Waldir	139	55	3	4	1	1	0	0	0	0	0	0	203
1778	Sergecross73	45	0	7	56	1	8	77	1	6	0	1	0	202
251	BrendelSignature	5	0	0	74	5	4	105	8	0	0	0	0	201
512	Dijxtra	135	6	0	13	6	0	36	4	0	0	0	0	200
1619	Renesis	148	0	0	25	1	0	19	6	0	0	0	0	199
1674	Roozbeh	152	3	0	28	7	0	8	1	0	0	0	0	199
1770	Seglea	192	4	0	2	0	0	1	0	0	0	0	0	199
515	Dinoguy1000	128	9	0	45	1	4	7	1	0	0	1	1	197
683	Franamax	32	7	18	20	4	6	94	4	6	0	5	0	196
1490	Pegship	191	2	0	1	0	0	1	0	0	0	0	0	195
2020	Tra	135	11	0	38	5	0	5	0	0	0	0	0	194
8	52 Pickup	104	3	0	6	1	0	73	6	0	0	0	0	193
615	Ev	165	20	0	6	0	0	2	0	0	0	0	0	193
590	Eloquence	128	5	0	10	5	0	30	11	0	0	1	0	190
843	HorsePunchKid	189	0	0	0	0	0	0	0	0	0	0	0	189
1715	Sam	109	24	2	24	5	0	22	0	0	0	3	0	189
214	BirgitteSB	176	7	0	0	0	0	2	1	0	0	1	0	187
1873	Stephan Schulz	8	9	1	26	1	4	116	11	9	0	2	0	187
1538	Pollinator	35	0	0	4	0	0	146	1	0	0	0	0	186
1633	Richwales	20	0	18	30	4	7	85	0	17	0	3	0	184
1143	LinguistAtLarge	177	2	0	1	0	0	0	0	0	0	2	0	182
2002	Toby Bartels	22	154	0	1	3	0	1	1	0	0	0	0	182
1477	Paul A	136	35	0	4	0	0	5	0	0	0	0	0	180
939	Jcw69	67	1	0	0	0	0	108	3	0	0	0	0	179
818	Hdt83	37	1	0	15	2	0	117	3	0	0	3	0	178
1069	Killervogel5	81	3	4	45	0	3	40	0	0	0	0	0	176
708	G-Man	112	33	0	10	5	0	12	1	0	0	0	0	173
1231	Martyman	132	2	0	2	0	0	36	1	0	0	0	0	173
290	CSTAR	58	5	0	6	3	0	93	3	0	0	0	0	168
1182	MJCdetroit	106	6	0	31	4	14	6	0	0	0	0	0	167
943	JeLuF	150	5	0	3	0	0	2	1	0	0	4	0	165
1479	Paul Benjamin Austin	25	4	0	45	9	0	65	16	0	0	0	0	164
1109	Kzollman	125	34	0	1	0	0	2	1	0	0	0	0	163
1282	Metamagician3000	111	4	0	11	4	0	28	5	0	0	0	0	163
1434	Olessi	142	6	0	0	0	0	14	1	0	0	0	0	163
2181	Zad68	6	0	0	32	1	4	107	4	9	0	0	0	163
671	Flockmeal	146	1	0	1	0	0	14	0	0	0	0	0	162
97	Andrew Norman	48	1	0	27	2	0	75	7	0	0	0	0	160
532	Dpbsmith	134	4	0	3	2	0	17	0	0	0	0	0	160
1502	Peteforsyth	99	15	1	5	2	4	15	4	6	0	9	0	160
1530	Plange	123	0	0	3	1	0	32	0	0	0	0	0	159
1709	Sade	148	5	0	3	0	0	1	2	0	0	0	0	159
1761	Searchme	148	0	0	0	0	0	11	0	0	0	0	0	159
135	Arminius	130	1	0	7	3	0	14	2	0	0	0	0	157
1904	TSO1D	89	1	0	34	8	2	21	2	0	0	0	0	157
1830	Slumgum	154	1	0	1	0	0	0	0	0	0	0	0	156
1485	Pcb21	101	43	0	3	6	0	1	1	0	0	0	0	155
256	Briangotts	138	7	0	1	0	0	7	0	0	0	0	0	153
581	Elf	138	14	0	0	0	0	0	0	0	0	0	0	152
28	Acetic Acid	65	3	0	7	2	0	65	9	0	0	0	0	151
733	Gentgeen	100	7	0	2	0	1	37	4	0	0	0	0	151
1329	Moncrief	99	1	0	5	3	0	42	1	0	0	0	0	151
1624	Revolving Bugbear	102	7	0	5	1	0	25	11	0	0	0	0	151
1738	Savidan	120	5	0	13	6	0	6	0	0	0	0	0	150
51	Al Ameer son	121	5	1	8	2	3	7	1	0	0	1	0	149
1515	Philippe (WMF)	38	3	35	26	6	6	0	0	0	0	35	0	149
1950	The Random Editor	88	0	0	21	0	0	39	1	0	0	0	0	149
1553	Proteus	125	0	0	2	0	0	11	10	0	0	0	0	148
940	Jdavidb	81	0	0	13	2	0	48	2	0	0	0	0	146
1155	Lord Roem	71	0	0	43	0	7	18	1	1	0	5	0	146
1351	Mustafaa	131	1	0	0	3	0	10	1	0	0	0	0	146
32	Adambiswanger1	75	0	0	15	4	0	48	1	0	0	0	0	143
217	Bjarki S	94	0	0	2	1	0	41	4	0	0	0	0	142
464	Daveydweeb	134	1	0	2	0	0	4	1	0	0	0	0	142
510	Diberri	130	3	0	3	1	0	5	0	0	0	0	0	142
1176	MC MasterChef	103	0	0	0	0	0	35	4	0	0	0	0	142
1829	Slrubenstein	36	3	0	28	7	5	48	10	4	0	0	0	141
2	172	16	0	0	23	7	0	52	40	0	0	0	0	138
371	Christopher Sundita	66	39	0	10	4	0	17	2	0	0	0	0	138
718	Gaius Cornelius	51	0	0	1	0	0	82	3	1	0	0	0	138
1570	R. Baley	8	3	0	26	2	12	80	6	0	0	1	0	138
316	Carcharoth	44	78	2	5	3	1	1	2	0	0	0	0	136
936	Jbmurray	93	8	0	7	6	0	20	1	0	0	1	0	136
1661	RobyWayne	122	0	0	0	0	0	14	0	0	0	0	0	136
1840	Snoyes	95	0	0	1	0	0	40	0	0	0	0	0	136
534	Dppowell	5	1	0	6	1	0	116	6	0	0	0	0	135
948	Jengod	128	0	0	7	0	0	0	0	0	0	0	0	135
1420	Ocaasi	38	2	0	87	0	1	2	2	0	0	0	0	132
1445	Orioane	114	1	0	4	2	0	11	0	0	0	0	0	132
1090	Kpjas	122	0	0	8	0	0	1	0	0	0	0	0	131
1306	Mikeblas	128	2	1	0	0	0	0	0	0	0	0	0	131
1779	Sesel	84	4	0	19	12	0	12	0	0	0	0	0	131
745	Gladys j cortez	5	0	0	24	2	2	86	4	7	0	0	0	130
2175	Yngvadottir	68	21	22	7	0	0	10	0	1	0	0	0	129
442	Dana boomer	103	2	13	6	0	1	2	0	0	0	0	0	127
477	Davidruben	35	0	0	7	1	1	80	2	0	0	0	0	126
757	Gonzonoir	122	1	0	0	0	0	3	0	0	0	0	0	126
852	Husnock	59	1	0	22	8	0	27	9	0	0	0	0	126
1460	PZFUN	95	3	0	6	2	0	14	6	0	0	0	0	126
1882	Stevenfruitsmaak	95	10	0	10	0	0	11	0	0	0	0	0	126
701	Furrykef	112	11	0	0	1	0	1	0	0	0	0	0	125
909	JWSchmidt	43	2	0	13	6	0	58	1	0	0	1	0	124
984	Johann Wolfgang	58	2	0	2	1	0	58	1	0	0	0	0	122
216	Bishzilla	53	11	0	16	2	2	24	6	0	0	5	0	119
82	Amcaja	54	3	0	0	1	0	58	2	0	0	0	0	118
1227	Marskell	40	2	0	32	16	3	25	0	0	0	0	0	118
1192	Mackeriv	96	1	0	3	0	0	14	3	0	0	0	0	117
1697	S@bre	101	3	0	6	1	2	4	0	0	0	0	0	117
1706	Sabine's Sunbird	106	1	0	7	0	3	0	0	0	0	0	0	117
1286	Miborovsky	46	3	0	19	13	0	30	5	0	0	0	0	116
1072	Kim Bruning	49	5	0	11	3	0	33	14	0	0	0	0	115
1614	Refdoc	61	5	0	11	4	0	28	5	0	0	0	0	114
440	DanKeshet	104	1	0	6	0	0	2	0	0	0	0	0	113
567	Edcolins	53	8	0	3	3	0	45	0	1	0	0	0	113
678	Formeruser-81	44	0	0	21	3	0	25	20	0	0	0	0	113
1883	Stevenj	35	1	0	24	0	0	52	1	0	0	0	0	113
2147	Wrp103	1	0	0	0	0	0	111	0	0	0	0	0	112
288	COGDEN	65	18	19	3	1	0	4	0	1	0	0	0	111
1941	The Cunctator	8	63	0	5	17	0	11	6	0	0	0	0	110
779	Grunt	86	5	0	4	2	0	10	2	0	0	0	0	109
1837	Smurrayinchester	67	3	0	10	6	0	17	6	0	0	0	0	109
1134	Lethe	35	16	0	4	3	0	34	16	0	0	0	0	108
1919	Taw	88	17	0	0	2	0	0	0	0	0	0	0	107
1987	Tim Starling	42	11	1	7	3	0	15	23	0	5	0	0	107
336	Cedrus-Libani	101	4	0	1	0	0	0	0	0	0	0	0	106
473	DavidLevinson	35	52	0	9	0	0	9	0	0	0	0	0	105
592	Emperor	58	42	0	3	0	0	1	1	0	0	0	0	105
1541	Poor Yorick	93	0	0	7	3	2	0	0	0	0	0	0	105
639	Fainites	20	0	1	11	1	4	61	0	5	0	1	0	104
143	Asbestos	72	2	0	0	0	0	25	3	0	0	0	0	102
209	Bilby	37	3	32	4	0	0	26	0	0	0	0	0	102
2125	Wilfried Derksen	75	7	0	13	5	0	2	0	0	0	0	0	102
709	G.A.S	87	11	1	1	0	0	1	0	0	0	0	0	101
1664	Rockero	78	1	0	5	2	0	13	0	0	0	0	0	99
333	Cburnett	52	18	0	6	2	0	14	5	0	0	0	0	97
