James1011R	22 March 2012	WP:NOTNOW	SoWhy	(0/6/0)
Purplebackpack89	15 March 2012	WP:SNOW	Cyberpower678	(1/20/2)
TucsonDavid	12 March 2012	Withdrawn by candidate	Fastily	(1/3/0)
Pol430	11 March 2012	Unsuccessful	MBisanz	(46/32/1)
Bens dream	10 March 2012	WP:NOTNOW	Cyberpower678	(0/5/0)
Baseballrocks538	6 March 2012	WP:NOTNOW	Cyberpower678	(0/3/0)
TheAustinMan	5 March 2012	WP:SNOW	Armbrust	(1/8/2)
Figureskatingfan	17 February 2012	Withdrawn by candidate	Amalthea	(29/27/17)
Jeff G.	10 February 2012	SNOW	DeltaQuad	(1/14/1)
GSorby (4th)	6 February 2012	SNOW/NOTNOW	Alpha Quadrant	(2/10/0)
Deathlibrarian	13 January 2012	WP:NOTNOW	TParis	(0/7/0)
Sven Manguard	5 January 2012	Withdrawn by candidate	28bytes	(19/10/3)
SpeakFree	1 January 2012	Withdrawn by candidate	Armbrust	(4/9/4)
Kylekieran	28 December 2011	WP:NOTNOW	Secret	(1/8/2)
BusterD	27 December 2011	Withdrawn by candidate	Prodego	(16/33/7)
Buggie111	27 December 2011	Withdrawn by candidate	Salvio giuliano	(20/20/7)
A520	24 December 2011	WP:SNOW	Hurricanefan25	(1/11/2)
AwesomeSponge	10 December 2011	WP:NOTNOW	Gfoley4	(0/3/0)
Hallows AG	8 December 2011	Withdrawn by candidate	28bytes	(3/12/2)
Tarheel95 (2nd)	7 December 2011	Withdrawn by candidate	CharlieEchoTango	(0/5/1)
VegetaSaiyan	7 December 2011	WP:SNOW, WP:NOTNOW	CharlieEchoTango	(0/7/0)
HangingCurve	27 November 2011	Withdrawn by candidate	Paul Erik	(8/12/3)
Latish redone	22 November 2011	WP:SNOW	TParis	(0/10/0)
Steven Zhang	6 November 2011	Withdrawn by candidate	Maxim	(124/45/7)
Dayewalker	6 November 2011	Withdrawn by candidate	MSGJ	(32/20/10)
Secret (2nd)	5 November 2011	No consensus	Anonymous Dissident	(74/43/11)
Woe90i	28 October 2011	WP:SNOW	Hersfold	(2/11/2)
Calabe1992	27 October 2011	WP:SNOW	28bytes	(2/11/1)
Ankitbhatt (2nd)	19 October 2011	WP:SNOW	Beeblebrox	(2/14/1)
ItsZippy	15 October 2011	Withdrawn by candidate	SoWhy	(9/13/5)
Coolguy22468	9 October 2011	WP:SNOW	28bytes	(2/9/0)
Spongefrog (2nd)	28 September 2011	WP:NOTNOW	The Utahraptor	(1/5/0)
NYMets2000	30 August 2011	WP:NOTNOW	Reaper Eternal	(1/10/0)
