date,bases,open_access_bases,bytes,open_access_bytes
"12/03/2009",10904803942839,10561852107771,38931860547140,38558667206218
"12/04/2009",10904880886148,10561929051080,38932007279761,38558813938839
"12/07/2009",10911315948103,10568364113035,38940755463603,38567562122681
"12/08/2009",10928822113324,10585870278256,38959831900509,38586638559587
"12/09/2009",10929378320839,10586426485771,38960685887546,38587492546624
"12/10/2009",10939372839058,10596421003990,38991049915302,38617856574380
"12/11/2009",11052203394965,10709251559897,39146257641512,38773064300590
"12/13/2009",11052209423214,10709257588146,39146274004606,38773080663684
"12/14/2009",11067456565148,10724504730080,39164510802659,38791317461737
"12/15/2009",11292621375861,10949669540793,39401399455409,39028206114487
"12/16/2009",11351960718004,11009008882936,39464486136091,39091292795169
"12/17/2009",12085903512788,11742951677720,40227632146641,39854438805719
"12/18/2009",12165398378797,11822446543729,40315362997464,39942169656542
"12/19/2009",12165628217007,11822676381939,40315619115773,39942425774851
"12/21/2009",12206554184016,11863602348948,40358255419330,39985062078408
"12/22/2009",12280455976156,11937504141088,40438363096198,40065169755276
"12/23/2009",12369221262792,12026269427724,40531469604766,40158276263844
"12/24/2009",12432612360082,12089660525014,40597646640141,40224453299219
"12/26/2009",12446417671770,12103465836702,40611846708146,40238653367224
"12/28/2009",12446885483526,12103933648458,40612366553488,40239173212566
"12/29/2009",12449325519431,12106373684363,40615115758925,40241922418003
"12/30/2009",12456700477313,12113748642245,40626415102327,40253221761405
"12/31/2009",12469341795157,12126389960089,40640050277217,40266856936295
"01/04/2010",12470338975140,12127387140072,40642267748885,40269074407963
"01/05/2010",12503333424282,12160381589214,40678059508258,40304866167336
"01/06/2010",12559034276051,12216082440983,40737416414938,40364223074016
"01/07/2010",12622858980410,12279907145342,40803270698998,40430077358076
"01/08/2010",12692697299077,12349745464009,40929940289493,40556746948571
"01/09/2010",12698430255163,12355478420095,40940105116352,40566911775430
"01/10/2010",12742052160611,12399100325543,41009354471735,40636161130813
"01/11/2010",12895730763579,12552778928511,41236795868772,40863602527850
"01/12/2010",12896766103530,12553814268462,41239129940587,40865936599665
"01/13/2010",12910833882931,12567882047863,41255927432448,40882734091526
"01/14/2010",12926223393687,12583271558619,41275006337111,40901812996189
"01/15/2010",12934508550675,12591556715607,41285242197537,40912048856615
"01/16/2010",13151093128791,12808141293723,41509046560257,41135853219335
"01/17/2010",13251556852868,12908605017800,41614734913891,41241541572969
"01/18/2010",13301378179077,12958426344009,41667027504021,41293834163099
"01/19/2010",13446528264692,13103450643621,41827440938354,41453728572180
"01/20/2010",13503335002212,13160257381141,41892586102422,41518873736248
"01/21/2010",13557904847628,13214827226557,42007131210963,41633418844789
"01/22/2010",13692480788093,13349403167022,42160560740226,41786848374052
"01/23/2010",13834439476973,13491361855902,42306891966603,41933179600429
"01/24/2010",13880087950683,13537010329612,42356793441606,41983081075432
"01/25/2010",14033444161785,13690366540714,42552456927258,42178744561084
"01/26/2010",14353972786848,14010895165777,43822975728477,43449263362303
"01/27/2010",14502843375218,14159765754147,43979272983245,43605560617071
"01/28/2010",14571270984321,14228193363250,44061228851781,43687516485607
"01/29/2010",14653875965916,14310798344845,44207817776243,43834105410069
"01/30/2010",14657006925515,14313929304444,44215371448467,43841659082293
"01/31/2010",14657334261791,14314256640720,44216100382571,43842388016397
"02/01/2010",14671613720164,14328536099093,44234283059757,43860570693583
"02/02/2010",14767961846855,14424884225784,44335403784264,43961691418090
"02/03/2010",14781471384627,14438393763556,44353599509629,43979887143455
"02/04/2010",14781959574435,14438881953364,44354141969938,43980429603764
"02/05/2010",14931532823815,14588455202744,44987491609600,44613779243426
"02/06/2010",14933338751933,14590261130862,44991582866227,44617870500053
"02/08/2010",14934774584913,14591696963842,44994900087419,44621187721245
"02/09/2010",14937671284835,14594593663764,45000418511360,44626706145186
"02/10/2010",14991118082417,14648040461346,45060123367113,44686411000939
"02/11/2010",15017428257003,14674350635932,45087730341264,44714017975090
"02/12/2010",15019524329702,14676446708631,45090373023174,44716660657000
"02/13/2010",15019566438684,14676488817613,45090475389123,44716763022949
"02/14/2010",15393099424319,15050021803248,45566539717987,45192827351813
"02/15/2010",15393381595912,15050303974841,45567187686964,45193475320790
"02/16/2010",15407255413577,15064177792506,45676075820740,45302363454566
"02/17/2010",15658828540187,15315750919116,45951831339435,45578118973261
"02/18/2010",15699593062082,15356515441011,45999180969478,45625468603304
"02/19/2010",17678379641855,17335302020784,54809967390524,54436255024350
"02/20/2010",17682735894735,17339658273664,54814717066306,54441004700132
"02/21/2010",17703384605415,17360306984344,54871040508714,54497328142540
"02/22/2010",17720954462622,17377876841551,54909377479173,54535665112999
"02/23/2010",17990928408103,17647850787032,55224112868214,54850400502040
"02/24/2010",18309688123395,17679767702665,55577716651548,54921658752145
"02/25/2010",18371536062392,17741615641662,55645079190809,54989021291406
"02/26/2010",18518230607255,17888310186525,55800591598043,55144533698640
"02/27/2010",18522141643501,17892221222771,55809541046869,55153483147466
"02/28/2010",18524750471233,17894830050503,55812439833183,55156381933780
"03/01/2010",18837641962190,18207721541460,56151116276515,55495058377112
"03/02/2010",18844201898090,18214281477360,56165019072720,55508961173317
"03/03/2010",18850422498871,18220502078141,56176727647996,55520669748593
"03/04/2010",18995890888650,18353411532960,56327091493665,55658359135243
