Date  Debt Held by the Public	Intragovernmental Holdings	Total Public Debt Outstanding
12/12/2001	NA	NA	5877463679105.98
12/13/2001	NA	NA	5875559240572.48
12/14/2001	NA	NA	5875869812211.80
12/17/2001	NA	NA	5875160714473.71
12/18/2001	NA	NA	5881570635636.22
12/19/2001	NA	NA	5883339152814.48
12/20/2001	NA	NA	5877829503607.78
12/24/2001	NA	NA	5876887804149.35
12/26/2001	NA	NA	5881074720650.64
12/27/2001	NA	NA	5873133713057.90
12/28/2001	NA	NA	5874765085547.09
12/31/2001	3394398958213.60	2549039605222.53	5943438563436.13
01/02/2002	NA	NA	5932932561034.54
01/03/2002	NA	NA	5919563782669.47
01/04/2002	NA	NA	5921467512500.89
01/07/2002	NA	NA	5924738684916.15
01/08/2002	NA	NA	5925648406543.46
01/09/2002	NA	NA	5922364903891.00
01/10/2002	NA	NA	5917637517914.60
01/11/2002	NA	NA	5921569434218.62
01/14/2002	NA	NA	5921841296537.81
01/15/2002	NA	NA	5923667880473.11
01/16/2002	NA	NA	5922998744318.79
01/17/2002	NA	NA	5921329269992.48
01/18/2002	NA	NA	5922321839074.39
01/22/2002	NA	NA	5924540106802.70
01/23/2002	NA	NA	5926021548395.36
01/24/2002	NA	NA	5924086349662.89
01/25/2002	NA	NA	5929423317353.04
01/28/2002	NA	NA	5929295811441.63
01/29/2002	NA	NA	5932136522924.02
01/30/2002	NA	NA	5929429748403.27
01/31/2002	3378924426706.66	2558304316769.61	5937228743476.27
02/01/2002	NA	NA	5910983893779.23
02/04/2002	NA	NA	5916230964734.03
02/05/2002	NA	NA	5921591683471.62
02/06/2002	NA	NA	5919541743268.34
02/07/2002	NA	NA	5927706526358.33
02/08/2002	NA	NA	5930243480686.36
02/11/2002	NA	NA	5929986106157.65
02/12/2002	NA	NA	5933095708171.14
02/13/2002	NA	NA	5931016018914.50
02/14/2002	NA	NA	5945006500796.26
02/15/2002	NA	NA	5971883709164.78
02/19/2002	NA	NA	5973692189581.81
02/20/2002	NA	NA	5977405934060.08
02/21/2002	NA	NA	5994326767988.66
02/22/2002	NA	NA	5996512013083.82
02/25/2002	NA	NA	5997270977826.37
02/26/2002	NA	NA	6002734772404.52
02/27/2002	NA	NA	5997588652769.46
02/28/2002	3442243757040.41	2561209259543.44	6003453016583.85
03/01/2002	NA	NA	5977010131164.00
03/04/2002	NA	NA	5982635088505.08
03/05/2002	NA	NA	5987408856719.35
03/06/2002	NA	NA	5985217591986.90
03/07/2002	NA	NA	5991318519771.93
03/08/2002	NA	NA	5993758200456.19
03/11/2002	NA	NA	5994139115503.54
03/12/2002	NA	NA	5997795870635.37
03/13/2002	NA	NA	5995411977197.58
03/14/2002	NA	NA	6002538253520.05
03/15/2002	NA	NA	6001360667275.42
03/18/2002	NA	NA	6002882546420.97
03/19/2002	NA	NA	6009910180252.69
03/20/2002	NA	NA	6008225142348.45
03/21/2002	NA	NA	6008707729579.59
03/22/2002	NA	NA	6008873223059.17
03/25/2002	NA	NA	6012312788802.00
03/26/2002	NA	NA	6014923655339.27
03/27/2002	NA	NA	6013120466374.43
03/28/2002	NA	NA	6007589462577.35
03/29/2002	3444137028277.33	2561894577988.05	6006031606265.38
04/01/2002	NA	NA	5999311790413.49
04/02/2002	NA	NA	6005511463777.25
04/03/2002	NA	NA	6014197668665.29
04/04/2002	NA	NA	6021017363339.55
04/05/2002	NA	NA	6020970857706.62
04/08/2002	NA	NA	6020831299342.10
04/09/2002	NA	NA	6020784790058.45
04/10/2002	NA	NA	6020735519021.84
04/11/2002	NA	NA	6020911043558.80
04/12/2002	NA	NA	6020864443381.79
04/15/2002	NA	NA	6020720533307.05
04/16/2002	NA	NA	6009070654503.89
04/17/2002	NA	NA	6010533726962.73
04/18/2002	NA	NA	6004323827172.06
04/19/2002	NA	NA	6005161158767.37
04/22/2002	NA	NA	5983662934913.34
04/23/2002	NA	NA	5990551754639.13
04/24/2002	NA	NA	5989711366487.35
04/25/2002	NA	NA	5974748781674.22
04/26/2002	NA	NA	5974913746220.04
04/29/2002	NA	NA	5972996406543.64
04/30/2002	3402336886067.70	2582340471146.16	5984677357213.86
05/01/2002	NA	NA	5974320868797.23
05/02/2002	NA	NA	5979288646755.03
05/03/2002	NA	NA	5966885188391.86
05/06/2002	NA	NA	5969691431266.78
05/07/2002	NA	NA	5973527635269.29
05/08/2002	NA	NA	5973205194045.55
05/09/2002	NA	NA	5978218818210.58
05/10/2002	NA	NA	5988911662755.21
05/13/2002	NA	NA	5989198647537.89
05/14/2002	NA	NA	5990414639076.97
05/15/2002	NA	NA	6016580911847.58
05/16/2002	NA	NA	6019475513420.98
05/17/2002	NA	NA	6019432256973.92
05/20/2002	NA	NA	6019304226577.31
05/21/2002	NA	NA	6019261264823.37
05/22/2002	NA	NA	6019218593505.56
05/23/2002	NA	NA	6019507628998.81
05/24/2002	NA	NA	6019464546170.05
05/28/2002	NA	NA	6019285474355.32
05/29/2002	NA	NA	6019242388040.06
05/30/2002	NA	NA	6019527986314.02
05/31/2002	3433836481390.91	2585495830856.64	6019332312247.55
06/03/2002	NA	NA	6019104396995.61
06/04/2002	NA	NA	6019060342413.39
06/05/2002	NA	NA	6019011103766.73
06/06/2002	NA	NA	6019291726873.34
06/07/2002	NA	NA	6019247621708.75
06/10/2002	NA	NA	6019115301642.58
06/11/2002	NA	NA	6019071198788.71
06/12/2002	NA	NA	6019033185532.18
06/13/2002	NA	NA	6019306655544.30
06/14/2002	NA	NA	6019262699735.47
06/17/2002	NA	NA	6019121181473.83
06/18/2002	NA	NA	6019076951481.93
06/19/2002	NA	NA	6019034010971.33
06/20/2002	NA	NA	6018747499787.80
06/21/2002	NA	NA	6018704427096.91
06/24/2002	NA	NA	6018575197610.10
06/25/2002	NA	NA	6018532124630.77
06/26/2002	NA	NA	6018489051398.77
06/27/2002	NA	NA	6018752489419.85
06/28/2002	3464147372780.82	2662321387619.66	6126468760400.48
07/01/2002	NA	NA	6117106533104.73
07/02/2002	NA	NA	6124073516137.05
07/03/2002	NA	NA	6110412345649.01
07/05/2002	NA	NA	6115735419045.29
07/08/2002	NA	NA	6116271961643.33
07/09/2002	NA	NA	6119318643079.06
07/10/2002	NA	NA	6114053599385.23
07/11/2002	NA	NA	6126597702503.04
07/12/2002	NA	NA	6126893802921.30
07/15/2002	NA	NA	6116731188478.30
07/16/2002	NA	NA	6119331528850.00
07/17/2002	NA	NA	6119360038214.16
07/18/2002	NA	NA	6133146456673.25
07/19/2002	NA	NA	6132592680423.69
07/22/2002	NA	NA	6133730515433.32
07/23/2002	NA	NA	6136630470681.18
07/24/2002	NA	NA	6136201901178.24
07/25/2002	NA	NA	6150003507609.84
07/26/2002	NA	NA	6150620096273.10
07/29/2002	NA	NA	6150847883507.12
07/30/2002	NA	NA	6150951718168.42
07/31/2002	3500451919732.42	2659288870276.97	6159740790009.39
08/01/2002	NA	NA	6158782145887.11
08/02/2002	NA	NA	6148756499131.98
08/05/2002	NA	NA	6148395980810.85
08/06/2002	NA	NA	6151671997592.87
08/07/2002	NA	NA	6150811787179.89
08/08/2002	NA	NA	6159773600947.54
08/09/2002	NA	NA	6161175202672.18
08/12/2002	NA	NA	6162108583400.04
08/13/2002	NA	NA	6164529911859.03
08/14/2002	NA	NA	6162050564438.14
08/15/2002	NA	NA	6193056143650.08
08/16/2002	NA	NA	6193272924133.45
08/19/2002	NA	NA	6195779296107.99
08/20/2002	NA	NA	6198881278266.14
08/21/2002	NA	NA	6195860088809.28
08/22/2002	NA	NA	6204506147068.71
08/23/2002	NA	NA	6206496269305.09
08/26/2002	NA	NA	6207777801371.69
08/27/2002	NA	NA	6211118788912.48
08/28/2002	NA	NA	6210593876534.73
08/29/2002	NA	NA	6212191672177.83
08/30/2002	3558276735685.63	2652204940270.63	6210481675956.26
09/03/2002	NA	NA	6194089703019.91
09/04/2002	NA	NA	6201449286859.25
09/05/2002	NA	NA	6203621876964.50
09/06/2002	NA	NA	6203279922857.50
09/09/2002	NA	NA	6200848240187.31
09/10/2002	NA	NA	6206134982821.32
09/11/2002	NA	NA	6212731396360.16
09/12/2002	NA	NA	6207448344943.44
09/13/2002	NA	NA	6206509037316.48
09/16/2002	NA	NA	6198239142009.48
09/17/2002	NA	NA	6206073469907.30
09/18/2002	NA	NA	6203601028501.77
09/19/2002	NA	NA	6199158297617.64
09/20/2002	NA	NA	6199849505001.03
09/23/2002	NA	NA	6201634677013.67
09/24/2002	NA	NA	6202454383502.58
09/25/2002	NA	NA	6201863128192.67
09/26/2002	NA	NA	6195917334028.10
09/27/2002	NA	NA	6193334713434.45
09/30/2002	3553180247874.74	2675055717722.42	6228235965597.16
10/01/2002	NA	NA	6215430666794.73
10/02/2002	NA	NA	6237381974360.51
10/03/2002	NA	NA	6234380384571.77
10/04/2002	NA	NA	6235990066541.70
10/07/2002	NA	NA	6235930213027.73
10/08/2002	NA	NA	6239755232300.10
10/09/2002	NA	NA	6236679890571.11
10/10/2002	NA	NA	6240299505760.08
10/11/2002	NA	NA	6239556841863.96
10/15/2002	NA	NA	6246660392073.73
10/16/2002	NA	NA	6246773496026.59
10/17/2002	NA	NA	6251118729877.65
10/18/2002	NA	NA	6249702211058.54
10/21/2002	NA	NA	6250436637598.70
10/22/2002	NA	NA	6253931306617.38
10/23/2002	NA	NA	6252024824472.17
10/24/2002	NA	NA	6261490337240.08
10/25/2002	NA	NA	6262167054248.04
10/28/2002	NA	NA	6262862376405.95
10/29/2002	NA	NA	6265365548907.49
10/30/2002	NA	NA	6265566488868.95
10/31/2002	3586523556148.57	2696004418229.93	6282527974378.50
11/01/2002	NA	NA	6258220921656.94
11/04/2002	NA	NA	6262497892544.30
11/05/2002	NA	NA	6265302560419.58
11/06/2002	NA	NA	6263940580234.33
11/07/2002	NA	NA	6269320696959.00
11/08/2002	NA	NA	6271423079676.64
11/12/2002	NA	NA	6270943936131.68
11/13/2002	NA	NA	6273282463524.76
11/14/2002	NA	NA	6282138550697.26
11/15/2002	NA	NA	6324046866798.58
11/18/2002	NA	NA	6325418923385.89
11/19/2002	NA	NA	6330526863880.25
11/20/2002	NA	NA	6327463487181.06
11/21/2002	NA	NA	6332857282620.31
11/22/2002	NA	NA	6332715758032.33
11/25/2002	NA	NA	6333388288958.19
11/26/2002	NA	NA	6340972979201.14
11/27/2002	NA	NA	6338927203679.87
11/29/2002	3649352539575.36	2694107607206.43	6343460146781.79
12/02/2002	NA	NA	6338699979592.55
12/03/2002	NA	NA	6327137536388.61
12/04/2002	NA	NA	6326481571338.52
12/05/2002	NA	NA	6332961664313.67
12/06/2002	NA	NA	6330682270007.28
12/09/2002	NA	NA	6330151460851.70
12/10/2002	NA	NA	6345906143621.31
12/11/2002	NA	NA	6342858747140.36
12/12/2002	NA	NA	6340621206423.40
12/13/2002	NA	NA	6339815664543.29
12/16/2002	NA	NA	6326836970262.51
12/17/2002	NA	NA	6333988644191.46
12/18/2002	NA	NA	6332067061221.38
12/19/2002	NA	NA	6327769228745.17
12/20/2002	NA	NA	6327507067992.90
12/23/2002	NA	NA	6328050248796.37
12/24/2002	NA	NA	6327459041582.08
12/26/2002	NA	NA	6322588055861.26
12/27/2002	NA	NA	6324662173895.04
12/30/2002	NA	NA	6325563131871.87
12/31/2002	3647939770383.73	2757767686463.80	6405707456847.53
01/02/2003	NA	NA	6389356141156.55
01/03/2003	NA	NA	6382650489675.40
01/06/2003	NA	NA	6383514236076.15
01/07/2003	NA	NA	6387381983103.35
01/08/2003	NA	NA	6383281068493.19
01/09/2003	NA	NA	6381926712367.35
